alguien,"someone, somebody, anyone"
audiencia,"audience, court, hearing"
caballero,"gentleman, knight"
campesino,"farmer, country, peasant"
campesinos,"peasants, farmers, rural"
ciudadana,"citizen, character, madam"
ciudadano,"citizen, character, sir"
ciudadanos,"citizens, characters, madam"
con calma,calmly
confiar,give
costumbre,"habit, custom, practice"
costumbres,"habits, customs"
cultura,"culture, arts"
culturas,"cultures, arts"
doble,"twice, double!, (I/he/she/it/you) double"
enemigo,enemy
enemigos,enemies
feria,"fair, (he/she/it) sells, (you-formal) sell"
gentes,people
humanidad,"humanity, mankind"
individuo,"individual, character"
individuos,"individuals, characters"
matrimonio,"marriage, wedding, (I) get married"
mil,"thousand, 1000, a thousand"
miles,thousands
nadie,"nobody, no one, anybody"
ni,"nor, neither, not"
números,"numbers, acts, constables"
paciente,"patient, passive"
pareja,"couple, partner"
personalidad,personality
población,"population, city, colony"
revolución,revolution
sentirse,"(to) feel, be, feeling"
sino,"but, but rather, if not"
tercera,third
tercero,third
testigo,"witness, baton, control"
testigos,"witnesses, batons, controls"
todos,"all, all of, every"
toneladas,"tons, tonnes"
trabajador,worker
trabajadoras,workers
trabajadores,workers
turismos,tourism
tímido,"shy, timid"
vecina,"neighbor, inhabitant, nearby"
vecino,neighbor
vecinos,neighbors
víctima,victim
víctimas,victims
