acuerdo,(I) remember
acuerdos,agreements
administración,"administration, management, administrative / admin department"
agricultura,agriculture
alcalde,mayor
alcaldesa,mayor
arresto,"arrest, (I) arrest, detention"
arrestos,"arrests, arrest, detention"
campaña,"campaign, drive, drove"
candidata,"client, candidates, candidate"
candidato,candidate
candidatos,candidates
civil,"civil, Civil Guard, civilian"
civiles,"civilians, civil, Civil Guard"
conflicto,"conflict, difficult situation"
conflictos,"conflicts, conflict, difficult situation"
congreso,"congress, Parliament (/ Congress etc) building, Parliament"
constitución,"constitution, makeup, setting-up"
cooperación,cooperation
corrupción,"corruption, decay"
crimen,"crime, serious crime"
crisis,"crisis, crises (pl.)"
debate,"(he/she/it) debates, debate!, (you-formal) debate"
declaraciones,"declarations, declaration, returns"
declaración,"statement, declaration, call"
defensa,"defense, barrier, bumper"
democracia,democracy
democrática,democratic
democrático,democratic
demócrata,democratic
derecho,"right, straight"
derechos,"rights, faces, honest"
dictadura,dictatorship
dictaduras,dictatorships
discurso,"speech, (I) deliver / give / make a speech, (I) give a talk"
diálogo,"dialog, conversation, debate"
déficit,"deficit, deficits, shortfall"
ejército,"army, military"
elecciones,"elections, choice, choices"
elección,"choice, election"
electoral,"electoral, election"
electorales,"electoral, elections"
embajador,ambassador
embajadora,ambassador
estabilidad,stability
estrategia,strategy
federación,federation
federal,federal
gobernador,governor
gobierno,"government, (I) rule, (I) steer"
humano,"human, human being, humane"
ilegal,"ideal, dream, ideals"
imperio,"empire, empire-style, rule"
imperios,"empires, empire-style, rules"
impuesto,tax
impuestos,taxes
independencia,independence
justicia,"justice, law"
legislación,"legislation, laws, lawmaking"
ley,"law, acted, assay value"
leyes,"laws, assay value"
libertad,"freedom, set … free!, liberate!"
líder,leader
líderes,leaders
manifestaciones,"protests, demonstration, demonstrations"
manifestación,"protest, demonstration, manifestation"
ministerio,"department, ministry"
ministra,"minister, government minister"
ministro,"minister, government minister"
oposición,"opposition, (public) competitive examination"
organismo,"organization, organism, body"
organismos,"organisms, bodies, organizations"
organizaciones,organizations
organización,organization
pobreza,"poverty, poor quality, poorness"
poder,"power, can, (to) be able to"
poderes,"powers, (to) be able to, can"
política,"politics, political, policy"
políticas,"tactful, political, diplomatic"
político,"political, politician, diplomatic"
políticos,"politicians, diplomatic, political"
presidencia,"presidency, armchair, chair"
presidencial,presidential
presupuesto,"budget, (I) budget for, (I) plan"
públicas,publics
republicano,republican
república,republic
riqueza,"wealth, richness"
riquezas,"wealth, richness"
seguridad,"safety, security, confidence"
senador,senator
senadores,senators
social,"social, company, undercover police officer"
socialista,socialist
sociedad,"society, high society, company"
violencia,violence
