preferir,"(to) prefer, prefer, preferring"
acostarse,"(to) go to bed, (to) lie down"
allí,"there, in there"
un poco,somewhat
fantásticos,fantastic
fantásticas,fantastic
fantástico,"fantastic, great"
fantástica,fantastic
morado,purple
morada,purple
odiar,"(to) hate, (to) pester, (to) hassle"
prefieres,"(you) prefer, (?) do you prefer"
prefiero,(I) prefer
prefieren,"(they) prefer, (?) do you prefer"
prefiere,"(?) does he prefer, (she) prefers"
preferimos,"(we) preferred, (we) prefer"
nos acostamos,we lay down
acostarme,"(to) go to bed, (to) lie down, going to bed"
acostarte,"(to) go to bed, going to bed, (you) lie down"
acostarnos,(to) go to bed
cuando,"when, whenever, as"
me acuesto,(I) go to bed
te acuestas,"(you) go to bed, (you) are going to bed, (you) lie down"
se acuesta,(he) goes to bed
se acuestan,they lie down
gustaron,"(I) like, (I) liked, (they) like"
ajedrez,chess
gimnasio,gym
gimnasios,gyms
golf,golf
generalmente,"generally, usually"
frecuentemente,"often, frequently"
de vez en cuando,"once in a while, sometimes, now and then"
odio,"(I) hate, hate"
odian,(they) hate
odiaste,(?) did you hate
odia,"(?) does he hate, (he) hates, (she) hates"
odiaron,(they) hated
grandísimo,really big
cansadísimo,really tired
tomar,"take, (to) take, (to) drink"
encantó,"(?) did you love, (I) loved"
facilísimo,really easy
encantaron,(?) did you love
dificilísimo,really difficult
