enseñando,teaching
necesitar,"need, (to) need, needed"
sentarnos,"(to) sit, sit"
estudió,"study, studied, (he) studied"
estudiaron,"study, (?) did you study, (they) studied"
estudiamos,"(we) study, (we) studied"
preocuparte,"(to) worry, worry"
preocuparme,"(to) worry, worrying, worry"
preocuparnos,"(to) worry, worry"
nos sentamos,"(we)  sit, (?) should we sit"
habló,"(he) spoke, (he) talked, speak"
hablaron,"(they) spoke, (they) talked"
hablamos,"(we) speak, (we) spoke, (we) talk"
preocuparse,"(to) worry (oneself), worry, worried"
enseñé,"taught, (I) taught"
enseñó,"(he) taught, (she) taught, show"
enseñaste,"(you) taught, (?) did you teach"
enseñaron,"(they) taught, taught"
enseñamos,"(we) are teaching, (we) taught, (we) teach"
empecé,"(I) started, (I) began"
parar,(to) stop
empezamos,"start, (we) started, (we) start"
empezaron,"(?) did you start, (they) started, start"
empezó,"(?) did it start, (he) began, (he) started"
empezaste,"(you) started, (?) did you start"
olvidó,"(he) forgot, (she) forgot"
olvidaron,"forgot, (they) forgot"
olvidamos,"(we) forget, (we) forgot, forget"
olvidé,(I) forgot
olvidaste,(?) did you forget
responder,"answer, (to) answer"
ejemplo,example
ejemplos,examples
vi,"(I) saw, see, (I) watched"
comprender,"(to) understand, understand"
cogiste,"(?) did you take, get, (you) took"
cogieron,(they) took
cogí,"got, get, made"
cogió,(he) took
respondes,(you) answer
respondo,(I) answer
responde,"(he) answers, (he) is answering, (you) answer"
respondemos,(we) answer
responden,(they) answer
comprendes,(?) do you understand
comprendemos,understand
comprendo,understand
comprenden,(they) understand
comprende,(he) understands
respondiste,"answer, (you) answered"
respondió,"answer, (he) answered, (she) answered"
respondí,"answer, (I) answered"
respondieron,"answer, (they) answered"
respondimos,(we) answered
viste,"(you) saw, (?) did you see, (?) did you watch"
vieron,"(they) saw, (they) watched"
vio,"(?) did you see, (he) watched, (she) saw"
cantaron,"(they) sang, sing"
canté,(I) sang
cantó,"sang, (?) did he sing, (he) sang"
cantamos,"(we) sing, (we) sang"
cantaste,"sing, (?) did you sing"
te preocupas,(you) worry
se preocupan,"(they) worry, (they) care about"
se preocupa,"(he) worries, (she) is worrying"
nos preocupamos,"(we) are worried, (we) worry"
me preocupo,"I'm worried, (I) worry"
dibujé,(I) drew
dibujamos,"(we) drew, (we) draw"
dibujaron,"(you) drew, (?) did you draw, draw"
dibujaste,"(you) drew, (?) did you draw, draw"
dibujó,"(he) drew, (she) drew"
encontramos,"(we) find, (we) found"
tomamos,"(we) have, (we) take, (?) are we taking"
tomó,"(?) did it take, (he) took, (it) took"
tomé,"(I) took, (I) had, take"
tomaste,"take, (?) did you drink, (you) ate"
tomaron,"(?) did you drink, (they) had, (they) took"
te sientas,"(?) are you sitting, (you)  seat, (you)  sit"
se sienta,(she) sits
me siento,I feel
se sientan,"(they/you-plural)  feel, (they/you-plural)  seat, (they/you-plural)  sit"
encuentran,(they) find
encuentra,(he) finds
encuentras,(you) find
encuentro,(I) find
