ninguno de,none
nadie,"nobody, no one, anybody"
alguno,"one, any, some (people)"
alguna,"any, one, some"
ciento,"a hundred, one hundred, percent"
compré,"(I) bought, (I) got, buy"
compró,"(?) did she buy, (he) bought, (she) bought"
elegir,"(to) choose, (to) pick, choose"
pobres,poor
pobre,poor
ay,"ouch, oh"
mi nuevo,my new
último,"last, latest, final"
última,"last, latest, final"
últimos,"last, final"
últimas,"last, lasts, last ones"
completamente,completely
ninguno,"none, any, neither"
ningunos,"none, no one, neither"
ninguna,"any, no, neither"
con nadie,with nobody
buen,"good, nice"
mal,"bad, wrong, badly"
primer,first
segundos,"seconds, second-in-command, deputies"
segundo,"second, 2"
segunda,"second, second gear, second class"
pagó,"(she) paid for, pay, (?) did you pay"
tercero,third
tercera,third
olvidar,"(to) forget, forget, forgot"
tercer,third
algún,"any, one, some"
ningún,"no, any"
pagamos,"(we) pay, (we) are paying for, (we) paid"
olvidan,"forget, (they) forget"
olvidas,(you) forget
olvidamos,"(we) forget, (we) forgot, forget"
olvido,"(I) forget, forget"
olvida,"(she) forgets, forget"
doscientos,"200, two hundred"
gran,"great, big, large"
