aprobar,Approve
aprobarás,you will approve
apruebas,you approve
apruebo,I approve
apuntes,notes
contar,count
contaste,did you count
contenido,content
contenidos,contents
conté,counted
corregirlas,correct them
corrige,correct
corrigen,correct
corriges,you correct
corrijo,I correct
cuentan,count
frase,sentence
frases,phrases
instructor,instructor
instructoras,instructors
instructores,instructors
lecciones,lessons
lección,lesson
memorizan,they memorize
memorizarla,memorize it
para,for
recordar,remind
repaso,review
resultado,Outcome
resultados,results
resumen,resume
significado,meaning
traducen,translate
traduzco,I translate
útil,Useful
