hay alguna,There are some
hay algún,is there any
nacionalidad,nationality
trescientos,"three hundred, 300"
espere,(you) wait
vine,"(I) came, (I) arrived, come"
viniste,"come, (you) arrived, (you) came"
alguien,"someone, somebody, anyone"
algo de,some
cuatrocientos,"four hundred, 400"
vino,"wine, (?) did he come, (he) came"
querría,(I) would like
nos vemos,see you
fumar,"smoking, (to) smoke"
quinientos,"500, five hundred"
vinimos,"(we) came, (we) arrived, come"
encontramos,"(we) find, (we) found"
compraste,"buy, (?) did you buy, (?) did you get"
vinieron,"(?) did you come, (they) came, come"
entonces,"then, so"
siguiente,"next, following"
siguientes,"following, next, followings"
seiscientos,"600, six hundred"
compraron,"(?) did you buy, (they) got, (?) did they buy"
caminaron,"(?) did you walk, (they) walked, walk"
disfrutando,enjoying
encontraron,"(?) did you find, (they) found, find"
posible,possible
ruidos,noises
ruido,"noise, noisy"
