voz,"voice, rumor, shouting"
prensa,"press!, printing press, (you-formal) press"
comunicación,"communication, communications, connection"
artículo,"article, entry"
lenguaje,language
argumento,"argument, (I) argue, plot"
secreto,"secret, (I) secrete"
grito,"scream, (I) shout, call"
comentarios,"comments, commentaries, notes"
silencio,quiet
frase,"phrase, sentence"
entrevista,"interview!, (you-formal) interview, begun to see"
publicidad,"advertising, advertisement, advertisements"
postal,postcard
editorial,"editorial, leader, leading article"
internets,Internet
