verdad,"(?) are they, (?) aren't there, (?) is he"
información,information
internet,Internet
canales,channels
canal,channel
noticias,news
noticia,news
semanal,weekly
semanales,"weekly, weeklies"
que,"to, that, than"
tuvimos,(we) had
dijimos,"(we) said, tell"
trajimos,(we) brought
anuncio,"ad, advertisement, announcement"
anuncios,"ads, advertisement, advertisements"
archivo,"file, folder"
archivos,files
correcto,"right, correct, polite"
correctos,right
correcta,"correct, right"
documento,"paper, document"
documentos,documents
tuvieron,"(?) did they have, (?) did you have, (they) had"
dijeron,"(?) did they say, (they) said, (they) told"
trajeron,"bring, (they) brought, (?) did you bring"
leí,"read, (I) read"
revista,"magazine, journal"
revistas,magazines
enviar,"(to) send, getting, send"
entiendes,"(you) understand, (?) do you understand, get"
ingenieras,engineers
ingeniero,"engineer, an engineer"
ingeniera,engineer
ingenieros,engineers
máquina,machine
máquinas,machines
sitios,"places, sites"
sitio,"site, place, stand"
fábricas,factories
preguntamos,(we) ask
pregunté,"ask, (I) asked"
preguntaron,"ask, (you) asked"
preguntaste,"ask, (you) asked, (?) did you ask"
preguntó,"ask, (he) asked, (she) asked"
mensaje,"message, text"
mensajes,"messages, texts"
escuchaste,"hear, listen"
escucharon,"hear, (?)did you hear, listen"
escuchó,"(he/she/it/you) listened to, (he/she/it/you) listened, (he/she/it/you) heard"
escuché,"(I) heard, (I) listened, (I) listened to"
