elección,"choice, election"
gobierno,"government, (I) rule, (I) steer"
ley,"law, acted, assay value"
sociedad,"society, high society, company"
derecho,"right, straight"
ministro,"minister, government minister"
seguridad,"safety, security, confidence"
político,"political, politician, diplomatic"
libertad,"freedom, set … free!, liberate!"
organización,organization
congreso,"congress, Parliament (/ Congress etc) building, Parliament"
justicia,"justice, law"
crisis,"crisis, crises (pl.)"
ministerio,"department, ministry"
defensa,"defense, barrier, bumper"
administración,"administration, management, administrative / admin department"
república,republic
política,"politics, political, policy"
ejército,"army, military"
campaña,"campaign, drive, drove"
democracia,democracy
oposición,"opposition, (public) competitive examination"
socialista,socialist
violencia,violence
constitución,"constitution, makeup, setting-up"
líder,leader
organismo,"organization, organism, body"
alcalde,mayor
discurso,"speech, (I) deliver / give / make a speech, (I) give a talk"
declaración,"statement, declaration, call"
federal,federal
conflicto,"conflict, difficult situation"
diálogo,"dialog, conversation, debate"
candidato,candidate
presidencia,"presidency, armchair, chair"
presupuesto,"budget, (I) budget for, (I) plan"
estrategia,strategy
independencia,independence
gobernador,governor
federación,federation
acuerdo,(I) remember
democrático,democratic
corrupción,"corruption, decay"
cooperación,cooperation
impuestos,taxes
agricultura,agriculture
manifestaciones,"protests, demonstration, demonstrations"
crimen,"crime, serious crime"
déficit,"deficit, deficits, shortfall"
presidencial,presidential
embajador,ambassador
pobreza,"poverty, poor quality, poorness"
estabilidad,stability
riqueza,"wealth, richness"
poder,"power, can, (to) be able to"
dictadura,dictatorship
imperio,"empire, empire-style, rule"
civil,"civil, Civil Guard, civilian"
legislación,"legislation, laws, lawmaking"
senador,senator
electoral,"electoral, election"
arresto,"arrest, (I) arrest, detention"
