buenísimo,"good, really good, really great"
buenísima,really good
buenísimos,really good
buenísimas,"really nice, really good"
malísimas,really bad
malísimo,"awful, terrible, really bad"
malísima,really bad
malísimos,really bad
grandísimos,really big
grandísimo,really big
grandísimas,really big
grandísima,"really big, very big"
corriste,"go running, run, (?) did you run"
corrieron,"(they) went running, (?) did you go running, run"
corrí,(I) ran
qué hacemos,what do we do
excursión,"hike, hiking"
excursiones,hikes
montó,(he) rode
montaron,"(?) did you ride, start, ride"
monté,(I) rode
divertidísimo,"a lot of fun, really fun"
divertidísimas,really fun
divertidísima,"a lot of fun, really fun, very fun"
divertidísimos,"a lot of fun, really funny"
aburridísimo,really boring
aburridísimas,really boring
aburridísima,really boring
aburridísimos,really boring
hip-hop,hip-hop
cómics,"comics, comic books"
descansos,breaks
descanso,"break, rest"
teatro,"theater, movie theater, cinema"
invita,"(she) invites, ask, (she) is inviting"
invite,"invitation, invite"
bellísima,"very lovely, really lovely"
bellísimos,really lovely
bellísimas,really lovely
bellísimo,really lovely
a lo mejor,maybe
qué tal si,what if
espectáculos,shows
espectáculo,"show, performance"
lago,lake
lagos,lakes
jazz,jazz
obra de teatro,"drama, play, obra de teatro"
hermosísimas,really beautiful
hermosísimos,really beautiful
hermosísimo,"really beautiful, really handsome"
hermosísima,really beautiful
carísimas,really expensive
carísima,really expensive
carísimos,really expensive
carísimo,really expensive
nadaron,"swim, (they) swam"
nadé,"swim, (I) swam"
nadaste,"swim, (?) did you swim"
nadó,(he) swam
desafortunadamente,unfortunately
hobby,"hobbies, pastimes, hobby"
hobbies,"hobbies, pastimes, hobby"
ciclismo,cycling
motocicleta,motorcycle
motocicletas,motorcycles
