pedir,"ask, (to) ask for, (to) make"
servir,"(to) serve, (to) be useful, serve"
champán,champagne
champanes,champagnes
asado,"roast, grilled, baked"
asada,"grilled, roasted"
alcohol,alcohol
chef,chef
cocinaste,"(you) cooked, (?) did you cook"
cociné,"(I) cooked, (I) roasted, (I) baked"
cocinamos,"(we) cook, (we) cooked"
piden,(they) order
pides,"ask, (you) ask, (?) are you ordering"
pido,"(I) ask, (I) make, (I) order"
pide,"(he) is ordering, (he) orders, (she) asks for"
sirven,"(?) do they serve, (they) are serving"
sirve,"(?) are you serving, (he) is serving, (it) serves"
sirvo,(?) should I serve
sirves,(?) do you serve
estupendas,wonderful
estupendos,wonderful
estupendo,"great, marvelous, wonderful"
estupenda,"marvelous, great, wonderful"
vegetariano,vegetarian
vegetariana,vegetarian
vegetarianos,"vegetarian, vegetarians"
buen provecho,bon appétit
llena,"full, (you) fill out, crowded"
llenas,"full, (you) fill, (you) fill out"
lleno,"full, (I) fill"
llenos,"full, filled"
saludable,healthy
saludables,healthy
me puede traer,Can you bring me
extra,extra
extras,"options, extra"
especial del día,day's special
pedimos,"(we) ordered, (we) asked, (we) ask"
servimos,"(we) function, (we) served, (?) should we serve"
algo más,anything else
hielos,ice cubes
hielo,ice
trae,"(he) brings, (he) is bringing, (you) bring"
traemos,"(we) are up to, get, (we) bring"
traen,"(they) are bringing, (you) bring, bringing"
traer,"(to) bring, (?) could you bring, (to) fetch"
panes,bread
probamos,"(we) try, (we) are trying"
probó,(?) did you try
probaron,(?) did you try
aceites,oils
aceite,oil
desayunaron,"breakfast, (they) ate breakfast"
desayunó,"breakfast, (he) ate breakfast"
desayuno,"breakfast, (I) eat breakfast"
desayunan,(?) do you eat breakfast
desayunaste,(?) did you eat breakfast
desayunamos,"(we) have breakfast, (we) eat breakfast"
cena,"dinner, supper"
cenaron,(?) did you eat dinner
cenó,(he) had dinner
cenan,(you) eat dinner
cenas,(?) do you eat dinner
cenamos,"(we) ate dinner, (we) eat dinner, (we) had dinner"
excelentes,excellent
excelente,"excellent, fine, great"
