cómo te va,how's it going
mira,"looks, (he) looks at, (she) watches"
qué te parece,"What do you think, (?) How does it sound"
invitación,"invitation, invite"
invitaciones,invitations
llamamos,"(we) called, (we) call"
llamaste,"(?) did you call, (you) called"
llamé,"(I) called, call"
llamó,"(?) did he call, (he) called, (she) called"
llamaron,"(?) did they call, (they) called, (they) telephoned"
donde,"where, when, because"
oye,"hey, (you) hear"
cómo le va,how are you
acompañar,(to) go with
qué le parece,(?) what do you think
patio,"backyard, patio, yard"
sorpresas,"surprises, favors"
sorpresa,"surprise, favor"
genial,"cool, great"
centros,"centers, facilities"
centro,"downtown, center"
parece,"looks, (?) what about, (it) seems"
conversar,"(to) talk, (to) chat, talk"
pena,shame
quiénes,"who, who all, whom"
ven,"(they) are seeing, (they) see, (they) watch"
bares,bars
bar,bar
acompañó,"(he) went with me, walk"
acompaño,"see, (I) go with you, walk"
acompañas,(you) go with us
parrilla,grill
medianoche,midnight
mediodía,noon
llega,"(?) does it arrive, (he) arrives, (it) arrives"
llegue,"(he) arrives, (he) gets, (you) arrive"
conversaron,(they) talked
conversó,"(he) talked, (she) talked"
conversaste,"(you) talked, (?) did you talk, talk"
converso,(I) talk
conversamos,"(we) talk, (we) talked"
conversé,(I) talked
baila,"(he) dances, (you) dance"
