campeonas,"champions, (you) win the championship"
campeonato,championship
campeón,champion
cancha,cancellations
cuenta,"check, bill, account"
de pie,standing
descenso,"descent, decline, decrease"
entrenamiento,"training, training session, coaching"
futbolista,soccer player
gol,goal
goles,goals
golfista,golfer
había,"had, there was, it was"
haya,"be, there are, there is"
hubo,"there was, (?) was there, there were"
juntarse,get together
liga,"league, give … the eye!, (he/she/it) gives … the eye"
tenista,tennis
torneo,"tournament, (I) throw, (I) turn"
