supe,"knew, (I) tasted, know"
pude,(I) could
puse,"(I) put, (?) did I put"
ocurrir,"(to) happen, (to) occur, come"
razón,reason
razones,"reasons, (you) reason, ratios"
vez,time
veces,times
siglos,centuries
siglo,century
supiste,"know, (you) knew, did you find out"
pudiste,(you) were able to
pusiste,"(?) did you put, (you) put"
ocurre,"(I/he/she/it/you) occur, (I/he/she/it/you) happen, happen!"
ocurren,"(they/you-plural) occur, happen, (they/you-plural) happen"
ocurrieron,happened
ocurrió,"(it) happened, happened"
charla,chat
conocidas,"well-known, familiars, famous"
conocida,"well-known, familiar"
conocido,"met, well-known, acquaintance"
conocidos,"known, well-known, acquaintance"
más,"more, most, above"
supo,"know, (she) knew"
pudo,(he) could
puso,"(?) did she put, (he) put, (she) put"
decidir,"(to) decide, decide"
por fin,finally
preparar,"(to) prepare, (to) make, (to) coach"
área,"area, square dekameter"
áreas,"areas, square dekameter"
decidiste,"(you) made up one's mind, (you) settled, (you) decided"
decidieron,"(they/you-plural) made up one's mind, (they/you-plural) settled, agreed"
decidió,"(?) did she decide, (he) decided"
decidimos,"(we) decided, (we) decide, (we) settled"
decidí,"(I) decided, (I) settled, (I) made up one's mind"
decide,"(to) decide, decide"
deciden,"(they/you-plural) settle, (they/you-plural) make up one's mind, (they/you-plural) decide"
decides,"(you) make up one's mind, (you) settle, (you) decide"
principio,"beginning, principle, (I) begin"
principios,"principles, beginnings, starts"
miles,thousands
de acuerdo,"agreed, agree"
nacimiento,birth
colina,hill
colinas,hills
preparé,"made, get, dressed"
prepararon,"prepared, cook, cooked"
prepara,"(he) makes, (it) prepares, (you) prepare"
preparamos,"ready, made, prepare"
preparaba,"(she) made, (she) used to prepare, prepare"
preparó,"made, cook, cooked"
preparando,preparing
preparaste,"made, prepare"
preparas,"ready, cook, dress"
