estaba,"(?) was he, (he) was, (it) was"
estaban,"(they) were, was"
estabas,(you) were
estábamos,(we) were
enfadado,"angry, mad"
enfadada,"mad, angry"
enfadados,"angry, mad"
enfadadas,"angry, mad"
interesadas,interested
interesado,interested
interesados,interested
interesada,interested
loco,crazy
locos,"crazy, mad"
sin duda,"certainly, definitely, surely"
nieto,"grandson, grandchild"
nietos,"grandsons, children, grandchildren"
invitadas,"invited, guests"
invitado,"invited, guest"
invitados,"guests, invited"
invitada,"invited, guest"
probablemente,probably
nieta,"granddaughter, grandchild"
nietas,granddaughters
satisfechos,"satisfied, pleased"
satisfechas,"satisfied, pleased"
satisfecho,"pleased, satisfied"
satisfecha,satisfied
casado,married
casada,married
excepto,except
vecino,neighbor
vecina,"neighbor, inhabitant, nearby"
vecinos,neighbors
vecinas,neighbors
mojados,wet
mojada,wet
mojadas,wet
mojado,wet
secas,dry
seco,"dry, (I) dry"
seca,dry
secos,dry
romper,(to) break
paraguas,"umbrella, umbrellas"
gafas de sol,sunglasses
soleadas,sunny
soleado,sunny
soleada,sunny
soleados,sunny
traje de baño,"swimsuit, bathing suit, swimsuits"
trajes de baño,"bathing suits, swimsuits"
rotas,broken
rotos,"broken, tears"
rota,broken
roto,broken
vacío,empty
vacía,empty
vacíos,empty
vacías,empty
rompimos,we broke
rompió,"break, (he) broke, (she) broke"
rompí,(I) broke
rompiste,(?) did you break
rompieron,(they) broke
cajones,drawers
cajón,"drawer, box, case"
fresca,fresh
frescos,fresh
frescas,fresh
fresco,fresh
motores,"motors, driving force, engines"
motor,engine
mangos,"mangos, mangoes"
mango,mango
