reservar,(to) reserve
ideas,"ideas, (you) devise, intentions"
idea,idea
turista,tourist
turistas,tourists
catedral,cathedral
planear,(to) plan
islas,islands
isla,island
bienvenidos,welcome
bienvenido,welcome
bienvenida,welcome
reservamos,"(we) reserve, (we) reserved"
reserva,"reservation, (she) is reserving"
reservó,"reserve, (you) reserve, reserve team"
reservé,(I) reserved
reservaste,"(?) did you reserve, reserve"
reservaron,"(?) did you reserve, reserved, reserve"
reservo,"reserve, (I) reserve, (I) book"
reservas,"reserve, (you) reserve, reserve team"
ópera,"opera, opera house"
planea,"(?) does she plan, (she) is planning, (she) plans"
planeas,"(you) plan, (?) do you plan"
planeamos,"(we) plan, (we) are planning"
planeo,"I'm planning, plan"
planean,"(?) do they plan, (they) plan"
equipaje,"luggage, baggage"
estadio,stadium
pasajeros,passengers
identificación,identification
regresar,"return, (to) return, (to) come back"
coches,"cars, automobiles"
coche,"car, automobile"
tranvía,tram
internacionales,"international, internationals"
internacional,international
vuelo,"flight, (I) fly"
vuelos,"flights, flight"
confortable,comfortable
confortables,comfortable
asiento,seat
asientos,seats
regreso,"return, (I) return, (I) come back"
regresaste,"return, (?) did you return"
regresan,"return, (they/you-plural) return, (they/you-plural) come back"
regresamos,"return, (we) return, (we) returned"
regresó,(she) returned
regresas,"(you) going back, (you) go back, (you) come back"
regresaron,"(they) returned, (?) did you return"
barco,"boat, ship"
capitales,"capital, capital city"
capital,"capital, capital city"
helicóptero,helicopter
servicios,"services, bathroom, bathrooms"
en todas partes,everywhere
agradable,"nice, pleasant"
agradables,"pleasant, nice"
