vestía,"dressed in, wore"
vestir,"(to) wear, wears, (to) decorate"
vestido,"dress, dressed"
te ibas,you were leaving
se iba,(he) was leaving
me iba,I was leaving
se iban,They were leaving
nos íbamos,We were leaving
vestíbulo,"foyer, halle, vestibule"
doble,"twice, double!, (I/he/she/it/you) double"
te fuiste,you went
se fue,left
nos fuimos,left
me fui,I left
nos iremos,we will go
me iré,(I) will leave
te irás,you will leave
doradas,"golden, gold"
dorada,"golden, browned, gilt/gilded"
dorado,"golden, gold"
anillos,bands
anillo,ring
enviábamos,we sent
enviaron,sent
envié,(I) sent
enviado,sent
enviamos,(we) sent
enviando,sending
enviaste,(?) did you send
envió,"(he) sent, (she) sent"
apagaba,"(she) turned off, killed, used to go out"
apagábamos,(we) turned off
apagaban,"cut, killed, (they) used to turn off"
entrábamos,(we) were going into
entraba,"(I/he/she/it/you) went in, (I/he/she/it/you) came in, (I/he/she/it/you) used to begin"
entraban,"(they/you-plural) came in, (they/you-plural) get in the way of, (they/you-plural) started"
conduces,"(you) drive, (you) ride"
conducir,"(to) drive, (to) ride, driving"
conduzco,(I) drive
conduce,"(you) drive, (he) drives"
conduciendo,"riding, driving"
gasté,(I) spent
gasto,"spend, (I) spend, (I) have"
gastamos,(we) spent
gasta,(she) spends
gastaba,spend
gastó,"(she) spent, (he) spent"
gastaste,"(you) spent, use, (?) did you spend"
me acostaba,I went to bed
se acostaban,they lay down
te acostabas,you lay down
se acostaba,"went to bed, (she) used to go to bed"
te acostarás,you will lie down
nos acostaremos,we will lie down
me acostaré,(I) will go to bed
menos mal,luckily
escuchábamos,(we) listened
escucharemos,listen
escuchabas,"(?) did you listen, listen"
escuchaba,"(she) listened, (I) was listening"
escuchará,"monitor, (he/she/it/you) will listen to, (he/she/it/you) will hear"
rock,"rocks, rock"
snowboarding,snowboarding
nadando,swimming
nadábamos,(we) were swimming
nadaban,"(they/you-plural) swam, (they/you-plural) used to swim, (they/you-plural) were swimming"
nadarás,"swim, (you) will swim"
nadaba,"(I) used to swim, (I) was swimming, use to swim"
nadaremos,"swim, (we) will swim"
encendían,(they) used to turn on
encendía,"(I) used to turn on, (she) turned on"
encendías,(?) did you turn on
encendido,"turned on, on, open"
encendíamos,(we) used to turn on
rap,rap
fuertes,strong
fuerte,"strong, bad, hard"
bebíamos,"(we) were drinking, (we) used to drink, (we) drank"
bebido,"drunk, had"
bebían,"(they/you-plural) were drinking, (they/you-plural) used to drink, (they/you-plural) drank"
bebía,"(I/he/she/it/you) was/were drinking, (I/he/she/it/you) used to drink, (I/he/she/it/you) drank"
beberé,"drink, (I) will drink"
bebías,"(you) were drinking, was drinking, (you) drank"
beberán,"drink, (they/you-plural) will drink"
beberás,"drink, (you) will drink"
beberá,"(he/she/it/you-formal) will drink, drink"
beberemos,"drink, (we) will drink"
verdaderos,"real, true"
verdadera,"true, real"
verdaderas,"real, true"
verdadero,"real, positive, true"
cantaba,"performed, (I) was singing, gave"
cantabas,(?) were you singing
reales,real
real,real
esperaba,"(I/he/she/it/you) was/were waiting for, (I/he/she/it/you) was/were waiting, (I/he/she/it/you) was/were expecting"
esperábamos,"(we) used to expect, (we) used to be expecting, (we) used to await"
esperaré,"(I) will wait, I'll wait, keep"
esperabas,"(you) awaited, (you) held on, (you) used to hope"
atractivos,attractive
atractivo,attractive
atractivas,attractive
esquiaba,(she) was skiing
esquiábamos,(we) were skiing
esquiaban,(they) were skiing
esquiamos,we ski
fumaba,"(he) smoked, (he) used to smoke"
fuman,"(they/you-plural) blow, (they/you-plural) smoke, (they/you-plural) skip"
fumó,smoke
fumas,"(you) smoke, (you) blow, (you) skip"
