perrito,little dog
perritos,"little dog, clothespin, clothes-peg"
me llevaba bien,I got along well
nos llevábamos bien,We got along well
te llevabas bien,you got along
se llevaban bien,they got along
se llevaba bien,got along well
nos llevamos bien,(we) get along
se llevó bien,got along well
me llevo bien,(I) get along
se lleva bien,It gets along
te llevas bien,(you) get along
se llevan bien,(they) get along
me casé,(I) got married
casado,married
me caso,I get married
nos casamos,"(we) got married, (we) are getting married"
se casó,(he) got married
se casan,"(they)are getting married, get married"
casaron,"(they) got married, (?) did they get married"
te casas,do you get married
soltera,single
solteros,single
soltero,single
solteras,single
hermanita,little sister
hermanito,little brother
hermanitos,little brothers
adulto,adult
adultas,adults
adulta,adult
adultos,"adults, adult"
mesita,little table
gatito,"little cat, kitten"
llevarnos bien,to get along
llevarme bien,get along
llevarte bien,(to) get along
llevarse bien,get along
normal,normal
ratones,mice
ratón,mouse
jalea,jelly
aconseja,"advises, guide"
aconsejo,(I) advise
aconsejas,(you) advise
aconsejan,"advise, guide"
pequeñita,really small
pequeñitos,really small
pequeñito,"small, really small"
bajito,"short, really short"
bajitas,"short, really short"
bajita,"short, really short"
genial,"cool, great"
miembro,"member, limb"
miembros,"members, Member, limb"
crecieron,"rose, (they) grew up"
creciste,"grow up, (?) did you grow up, rose"
crecí,"rose, (I) grew up"
crecen,"(they/you-plural) grow, (they/you-plural) rise, (they/you-plural) spread"
crecimos,(we) grew up
crecer,"(to) grow, (to) rise, (to) spread"
creció,"rose, (he) grew up, (?) did she grow up"
graduada,graduate
graduados,graduates
graduado,graduate
iguales,"same, the same, equal"
igual,"is, anyway, as"
poquito,"little, shot"
abuelita,grandma
pesca,fishing
bistec,steak
abuelitos,grandparents
rosa,"pink, rosa"
manta,blanket
mantas,blankets
