se,"you, are, each other"
e,and
claras,clear
clara,clear
claro,"light, clear, sure"
di,(I) gave
se las,I know them
se los,I know them
se la,I know it
se lo,I know
diste,"(?) did you give, (you) gave, give"
enterarnos,(we) found out
enterarse,(to) find out
enterarte,(to) find out
enterarme,"(to) find out, (I) found out"
tú se,you know
ellos se,they know
contactos,"contact sheet, contacts, contact print"
contacto,"contact, contacts"
dio,"(he) gave, (she) gave, give"
quieres decir,"(you) want to say, (you) mean"
quieren decir,They mean
quería decir,I wanted to say
quiere decir,"(you-formal) want to say, (he/she/it) means, (you-formal) mean"
salidas,exits
salida,exit
formulario,form
dimos,"(we) grew, (we) dealt, (we) gave"
sobre,"about, on, on top of"
dieron,"(they/you-plural) gave, (they/you-plural) gave on to, (they/you-plural) administered"
asuntos,"affairs, matters, business"
asunto,"matter, issue, business"
web,web
digitales,digital
digital,digital
enteramos,(we) found out
entero,"whole, whole number, (whole) lottery ticket"
enteraste,(?) did you find out
enteraron,(they) found out
entera,"whole, (he/she/it) finds out, (he/she/it) pays"
enteró,(she) found out
enteré,(I) found out
él se,she know
ellas se,they know
hecho,"made, done, fact"
hechos,"made, facts"
sucedió,"(he/she/it/you) happened, (he/she/it/you) succeeded, (he/she/it/you) inherited"
sucede,(it) happens
suceder,"(to) happen, (to) follow, (to) succeed"
añadió,"add, (he/she/it/you) added"
añade,"(she) adds, (she) is adding, (you) add"
añadir,"add, (to) add, write"
añado,"adding, I'm adding, (I) add"
estudio,"study, (I) study, (I) am studying"
estudios,"studies, studios"
software,software
