ambiente,"environment, (I/he/she/it/you) adjust, (I/he/she/it/you) adapt"
condición,"condition, class, conditions"
decidieran,"(they/you-plural) settle, (they/you-plural) make up one's mind, (they/you-plural) decide"
hablaran,"(they) will talk, talk"
humedad,"wet, humidity"
llamara,"(I/he/she/it/you) summon, (I/he/she/it/you) name, (I/he/she/it/you) telephone"
medidas,"measurements, measures, moves"
ruidoso,"noisy, loud, much talked-about"
ubicación,"position, location"
viera,"(I/he/she/it/you) try, (I/he/she/it/you) meet, had seen"
