me voy,"I am leaving, I'm leaving"
te vas,(you) are leaving
euros,euros
euro,euro
gasolina,gas
mapa,map
autopista,"highway, freeway"
avenidas,avenues
avenida,"avenue, boulevard, drive"
se va,is leaving
se van,they go
cálido,"hot, warm, hotter"
profunda,deep
profundo,deep
profundas,"deep, profound, sounds"
así que,"so that, so"
sería una buena idea,It would be a good idea
alrededor del,around the
nos vamos,Let's go
ahorramos,(we) saved
ahorra,"(you-formal) save (oneself), save oneself!, (he/she/it) spares"
ahorrar,"save, saving, (to) save"
resto,"rest, return of service / serve, (I) remain"
club,"club, dance club"
empacar,"(to) pack, packing"
empacaste,Did you pack
reservación,reservation
alquilar,"(to) rent, lets, renting"
irte,"(to) leave, go"
irme,"(to) go (me), (to) go out (me), (to) run (me)"
irse,"leaving, go, (to) leave"
irnos,"leave, (to) go, (to) leave"
empaqué,(I) packed
encantaría,would love
encantarían,(I) would love
guías,guides
guía,"guidebook, guide, guide book"
sueño,"dream, sleepy, tired"
sueña,"(he/she/it) dreams, (you-formal) dream, dream!"
sueñan,(they/you-plural) dream
soñamos,"(we) dream, (we) dreamed/dreamt"
