Word,Translations
ropa,"clothes, clothing"
tienda,"store, shop, stores"
camisa,shirt
verde,"green, unripe"
azul,blue
chaqueta,jacket
quiero,"(I) want, (I) love, I'll have"
vestido,"dress, dressed"
sombrero,hat
gris,"gray, grey"
marrón,brown
comprar,"buy, (to) buy, (to) get"
camiseta,"T-shirts, t-shirt"
este,"this, east"
falda,skirt
abrigo,coat
rojo,red
caro,expensive
barato,cheap
ese,"that, the"
diferente,different
favorita,favorite
cómoda,"comfortable, dresser"
cartera,"wallet, purse, bag"
reloj,"clock, watch"
regalo,"gift, present"
demasiado,"too, too much, a bit too"
cinturón,belt
