me gusta,(I) like
a mí me gusta,I like it
me dice,"(he/she/it)  says (me), tells me, (he/she/it)  thinks (me)"
están ricos,They are tasty
está rico,It's good
están ricas,they are rich
a mí me,to me
rica,"rich, tasty, wealthy"
rico,"rich, delicious, tasty"
ricos,"rich, delicious, tasty"
ricas,"delicious, rich, tasty"
gramos,"grams, g"
te gustan,(?) do you like
a ti te gustan,you like them
estoy seguro,I'm sure
estoy segura,I'm sure
estás seguro,are you sure
están seguros,are you sure
estás segura,are you sure
está segura,is sure
te dicen,they tell you
es seguro,It is safe
es segura,is safe
son seguros,They're safe
a ti te,to you
centímetros,"centimeters, cm"
le gusta,"(she) likes, (he) likes, (?) does he like"
a ella le gusta,she likes
estamos listos,we are ready
estoy listo,I'm ready
está listo,ready
están listos,they are ready
estoy lista,I'm ready
estás lista,are you ready
están listas,they are ready
le doy,I give
a ella le,she
listas,ready
listo,"ready, smart"
listos,"ready, smart"
lista,"list, ready, smart"
profesores,professors
profesor,"professor, teacher"
profesora,"teacher, professor"
profesoras,"professors, lecturers, schoolteacher"
le gustan,"(?) does she like, (he) likes"
a él le gustan,he likes them
le das,"(you)  give (him/her/it), (you)  administer (him/her/it), (you)  deal (him/her/it)"
a él le,to him
verdes,"green, unripe"
verde,"green, unripe"
recta,straight
recto,straight
rectas,straight
es verde,it's green
son verdes,they are green
