ofrezco,"(I) offer, (I) am offering"
corredor,"runner, hall"
corredores,runners
ofrecer,"(to) offer, (to) offer up, (to) present"
ofreció,"(?) did he offer, (he) offered, (she) offered"
ofrecen,give
ofreciendo,"offering, offering up, giving"
ofrecerá,"(he/she/it/you) will offer, (he/she/it/you) will offer up, (he/she/it/you) will give"
ofrece,(he) offers
ofrecemos,"(we) offer, (we) offer up, (we) throw"
ofreces,"(you) offer, (you) offer up, (you) present"
bébela,(you) drink it
bébelos,(you) drink them
bébelo,(you) drink it
límpialos,(you) clean them
límpiala,(you) clean it
límpialas,(you) clean them
límpialo,(you) clean it
aviso,"notice, (I) call, ad"
visita,"visit, (he) is visiting, (he) visits"
visitas,"visits, (?) are you visiting, (you) visit"
dime,(you) tell me
crema,cream
uvas,grapes
uva,grape
me puedes decir,can you tell me
llenar,"(to) fill, (to) fill out, fill"
llena,"full, (you) fill out, crowded"
llenamos,"(we) fill, (we) fill in, (we) fill out"
llené,"(I) filled, satisfied"
llenaré,"(I) will fill out, I'll fill out"
llenaste,satisfied
lleno,"full, (I) fill"
llenas,"full, (you) fill, (you) fill out"
deseo,"wish, (I) wish, (I) want"
deseos,"wishes, desires"
dame,(you) give me
me puede decir,can you tell me
guardé,save
guardó,"(he) kept, (she) kept, (she) saved"
guardar,"(to) keep, (to) save, bored"
guardas,"(?) do you keep, (you) save, (you) keep"
guardaste,"(you) kept, save, (?) did you save"
guardo,"keep, (I) keep, (I) observe"
dámelas,give them to me
dámelo,give it to me
dámelos,give them to me
dámela,give it to me
pásamelo,pass it to me
pásamelos,pass them to me
pásamela,pass it to me
pásamelas,pass them to me
deseas,"(?) do you wish, (you) wish"
deseamos,"We, (we) wish, (we) wanted"
deseando,desire
desea,"want, (he/she/it) desires, (he/she/it) wants"
desean,"(they) want, (they) wish, (?) do they wish"
agradecemos,(we) thank
agradecer,(to) thank
agradezco,"(I) thank, thank"
tráemelo,bring it to me
tráemelas,bring them to me
tráemela,bring it to me
tráemelos,bring them to me
dímelo,say it to me
pedir prestado,"borrowed, (to) borrow, borrow"
tocamos,"(we) touch, (we) are touching, (we) play"
tocar,"(to) play, playing, (to) touch"
tocaron,"touch, (they) played, (?) did they play"
tocabas,"(?) were you playing, (you) were playing, played"
tocaba,"(I) was playing, (he) played, (he) used to play"
tocas,"play, touch, (you) play"
toco,"(I) touch, (I) play, (I) feel"
tocado,"played, touched"
toca,"(?) does he play, (he) plays, (it) is playing"
tocaste,"(you) touched, play, played"
tocan,"touch, (?) do they play, (they) are playing"
tocaban,(they) were playing
tocando,"playing, touching"
tocó,"(he) played, (she) played"
tocábamos,"(we) were playing, played"
toqué,"(I) touched, (I) played, play"
conduzco,(I) drive
hacia,"to, towards, a"
