quise,"(I) wanted, (I) loved, I tried"
quisiste,"(you) wanted, want"
anduviste,"walked, walk"
anduve,"(I) worked, (I) walked, (I) went"
ven acá,come here
describes,describes
describiendo,writing
describo,"(I) trace, (I) describe"
describir,"(to) describe, (to) trace, describe"
describió,(she) described
describe,describe
señala,"give, show"
señalar,"point, gave, give"
quiso,want
quisimos,"want, (we) wanted, we tried"
anduvo,"walked, walk"
anduvimos,walked
sal,salt
perdido,"lost, missing"
perdida,"lost, missing"
perdidas,"lost, missing"
perdidos,"lost, missing"
cadena,"chain, chain letter, grand chain"
cadenas,chains
quisieron,(they) wanted
anduvieron,"walked, walk"
retrasó,"delay, (it) was delayed"
retrasamos,delay
retrasaste,(you) were delayed
retraso,delay
red,red
ten,ten
estacionaré,(I) will park
estacionaste,(?) did you park
estacionar,"(to) park, park, parking"
doblar,"turned, turn, goes"
doblamos,"turn, turned"
doblas,turn
pudimos,(we) could
pudieron,(they) could
vete,"go, (I/he/she/it/you) veto, go away"
aguacate,"avocados, avocado"
aguacates,avocados
pedazos,"pieces, to be shattered"
pedazo,"piece, bit, to be shattered"
sonar,"(to) thump, (to) fail, goes"
clásicas,"classic, classical, standard"
clásico,"classic, classical, standard"
clásica,"classical, classic, standard"
clásicos,"classical, classic, standard"
