receta,"prescription, (you-formal) prescribe, prescribe!"
ingredientes,ingredients
compra,"(?) are you buying, (?) does she buy, (?) is he buying"
libra,"book, books, textbook"
libras,"book, books, textbook"
mezcla,"(he) mixes, (you) mix"
vainilla,vanilla
fresa,strawberry
fresas,strawberries
helado,ice cream
helados,"cold, ice cream"
cereza,cereal
cerezas,cereal
durazno,"during, for, in"
duraznos,peaches
atún,tuna
especias,"kind, sort, species"
freír,"to fry, frying, fried"
lechugas,"lettuce, heads of lettuce"
lechuga,"lettuce, head of lettuce"
batir,"beat, (to) beat, (to) beat against"
brócoli,broccoli
microondas,microwave
deme,want
meriendas,do you snack
merienda,"snack, afternoon snack, have a snack in the afternoon!"
sabores,"flavor, taste"
sabor,"flavor, taste"
mayonesa,Mayonnaise
vinagre,vinegar
mostaza,mustard
maíz,corn
maní,many
