novela,"novel, write a novel about!, (you-formal) write a novel about"
novelas,"novels, (you) make / turn … into a novel, (you) write a novel about"
románticos,romantic
romántica,romantic
románticas,romantic
romántico,romantic
capítulos,"episodes, chapters, areas"
capítulo,"chapter, episode, area"
poemas,poems
poema,poems
charlaremos,we will chat
charla,chat
charlar,chargers
se llamarán,they will be called
leerlo,(to) read (him/it)
escribirle,(to) write (him/her/it)
se llamará,Will be called
párrafo,"paragraph, chat, talk"
párrafos,"paragraph, chat, talk"
veremos,"(we) will see, (we) will watch"
usarán,"use, (they/you-plural) will use, (they/you-plural) will wear"
escribirán,write
llegará,will be arriving
escribirás,"write, (you) will write"
verán,"see, (they) will see, (they) will watch"
reparará,(he) will repair
usaremos,"use, (we) will use, (we) will wear"
dormirá,"sleep, (he/she/it/you) will sleep, (he/she/it/you) will fall asleep"
llamará,"call, (he/she/it/you) will call, (he/she/it/you) will call up"
llegaremos,"(we) will arrive, (we) will come, (we) will be"
verá,"see, (she) will see, hear"
quedaré,"stay, (I) will stay, (I) will be"
cocinaremos,"cook, (we) will cook, (we) will bake"
caminará,"(he/she/it/you) will walk, walk"
llamaré,"(I) will call, (I) will give you a call, I'll call"
darás,"(you) will go / flow into, (you) will face, (you) will deal"
cocinaré,"cook, (I) will cook, (I) will bake"
servirá,"will, (he/she/it/you) will serve, (he/she/it/you) will work"
crecerá,"(to) grow, (to) rise, (to) spread"
ayudaremos,"help, (we) will help, (we) will help oneself"
traerán,(they) will be bringing
llegarán,"(they) will be arriving, arrive, come"
volveré,"(I) will make, (I) will return, (I) will be sick"
escribiré,"write, (I) will write, writing"
quedaremos,"(we) will stay, (we) will be, (we) will keep"
traeré,"I'll get, (I) will get, (I) will bring"
elegirá,"(he/she/it/you) will choose, (he/she/it/you) will elect, elect"
elegiremos,"(we) will choose, (we) will elect, return"
agregaré,(I) will add
abrirá,(it) will open
servirán,"(they/you-plural) will serve, (they/you-plural) will function, (they/you-plural) will work"
escribirá,"write, (he/she/it/you) will write, writing"
trabajaré,"(I) will act, (I) will knead, (I) will mix"
elegirán,"(they/you-plural) will choose, (they/you-plural) will elect, return"
encontraremos,"find, (we) will find, (we) will be"
quedarás,"(you) will stay, (you) will keep, (you) will be"
volverá,"(she) will become, (she) will come"
veré,"(I) will see, (I) will be seeing, I'll see"
elegirás,"(you) will choose, (you) will elect"
encontrarás,"find, (you) will find, (you) will encounter"
encontrará,"find, (he/she/it/you) will find, (he/she/it/you) will spot"
quedará,"(he/she/it/you) will be, (he/she/it/you) will stay, (he/she/it/you) will keep"
dará,(he) will give
compraré,"(I) will buy, (I) will get, I'll buy"
gustará,(he) will like
ganarán,"win, take, get"
aprobarás,"(to) pass, get, pass"
intentaré,"try, (I) will try to"
romperá,"(he/she/it/you) will break, (he/she/it/you) will break down, (he/she/it/you) will break up"
seguiré,"follow, (I) will follow, (I) will continue"
aprenderá,"(he/she/it/you) will learn, learn"
tomaré,"I'll get, (I) will have, (I) will drink"
explicaremos,we will explain
añadiré,(I) will add
enseñaré,"present, show"
aprenderás,"(you) will learn, learn"
verás,"(you) will see, (you) will watch"
escribiremos,"write, (we) will write"
deberá,(you) will have
cocinarás,"cook, (you) will cook, (you) will boil"
daré,"(I) will give, I'll give"
escritora,"writer, author"
escritoras,writer
escritor,writer
escritores,"writers, authors"
breve,"square, balanced, breve"
breves,"square, balanced, breve"
literatura,literature
textos,"texts, books"
texto,"text, book"
creativas,creative
creativa,creative
creativo,creative
protagonista,"protagonist, leading actor, main character"
protagonistas,"protagonist, leading actor, main character"
usada,"used, worn"
usados,"used, use, wear"
amor,"love, darling, dear"
leeremos,"read, (we) will read"
leeré,"read, (I) will read"
leerán,read
leerá,"read, (he/she/it/you) will read"
leerás,"read, (you) will read"
terminaré,"close, finished, end"
terminará,"end, (he/she/it/you) will come to an end, (he/she/it/you) will end"
terminarás,"(you) will come to an end, (you) will run out, (you) will be over"
terminaremos,"end, (we) will end up, (we) will come to an end"
autobiografía,autobiography
firmamos,"(we) sign, (we) sign on, (we) signed"
firmen,"sign!, sign on!, (they/you-plural) sign"
firmar,"sign, signed"
firmo,"(I) sign, (I) sign on, (I) register as unemployed"
firman,"(they/you-plural) sign, (they/you-plural) sign on, (they/you-plural) register as unemployed"
firmaremos,we will sign
firmas,"(you) sign, (you) sign on, (you) register as unemployed"
firmarán,"shot, filmed, they did film"
firme,"sign!, sign on!, (I/he/she/it/you) sign"
firma,"(he/she/it) signs, signature, firm"
firmará,"sign, signed"
ciencia ficción,science fiction
estudiarás,"read, take"
estudiará,"(he/she/it/you) will study, read, (he/she/it/you) will learn"
estudiaré,"read, take"
estudiaremos,(we) will study
estudiarán,"read, study, take"
hispanos,hispanic
hispana,hispanic
traduciré,"(to) translate, (to) convey"
traducir,"(to) translate, (to) convey"
traducirán,"(to) translate, (to) convey"
traduciremos,we will translate
traduciendo,translating
traducirás,"(to) translate, (to) convey"
empezarás,take
empezará,"(it) will begin, (she) will begin"
empezarán,(they) will begin
empezaremos,"start, open, we will start"
empezaré,"(I) will start, (I) will begin, (I) will open"
