alegría,"joy, happiness, cheers"
felicidad,"happiness, Happy Birthday!, Happy New Year!"
felicidades,congratulations
amores,"dear, darling, honeys"
sonrisa,smile
tensión,"tension, blood pressure, strain"
miedos,"fear, afraid, scared"
dolores,"pains, hurts, pain"
esperanza,hope
temor,fear
placer,"pleasure, it's, kick"
soledad,"loneliness, solitude"
humores,"mood, humor"
satisfacción,"satisfaction, fulfillment, payment"
celebración,"celebration, celebrations"
curiosidad,"curiosity, neatness"
deseos,"wishes, desires"
deseo,"wish, (I) wish, (I) want"
sentimientos,"feelings, feeling"
sentimiento,"feeling, feelings"
