habrá,"there will be, will be"
encontrado,found
alcanzado,"reached, caught, caught up with"
llamada,call
llamadas,calls
llamado,"called, call, got"
vuelto,"returned, again, come back"
muertos,"dead, dead beat, death"
muertas,"dead, dead beat, disused"
muerta,dead
muerto,"died, dead, finished"
enviado,sent
recibido,"received, got"
utilizado,"used, utilized, run"
creado,"created, brought, caused"
llevado,"taken, worn, born"
elegido,"chosen, chosen one, elected"
decidido,decided
previsto,"foreseen, anticipated, forecasted/forecast"
