sido,"been, made"
dejado,"left, let, abandoned"
tocado,"played, touched"
llamada,call
llamado,"called, call, got"
llamadas,calls
estados,"been, state"
sabido,"known, tasted, told"
haber,"(to) have, (to) be, be"
pasada,last
pasado,"last, past, given"
perdido,"lost, missing"
perdida,"lost, missing"
perdidas,"lost, missing"
perdidos,"lost, missing"
venido,"come, arrived"
preparado,"prepared, brewed, coached"
leído,read
conocida,"well-known, familiar"
conocidas,"well-known, familiars, famous"
conocidos,"known, well-known, acquaintance"
llovido,"rained, lank, leaked"
seguido,"followed, often, continued"
seguida,"followed, consecutive, continued"
pagada,paid
pagado,paid
dado,"given, given on to, die"
salida,exit
salidas,exits
salido,"gone out, come out, leaked out"
enviado,sent
demostrado,"demonstrated, proved/proven, showed/shown"
permitido,"allowed, permitted"
reducido,"reduced, cut, cut down on"
recibido,"received, got"
obligado,"forced, bound, required"
nacido,"born, been born, arrived"
terminado,finished
presentado,"introduced, presented, introduced oneself"
caminado,walked
tomado,"taken, had, drunk"
oído,"heard, ear"
oídos,"ears, hearings, inner ears"
llevado,"taken, worn, born"
realizado,"made, accomplished, carried out"
citado,"cited, incited, quoted"
ganado,won
desarrollado,developed
logrado,"been able to, managed, achieved"
elegido,"chosen, chosen one, elected"
cerrada,closed
cerrado,closed
cerrados,closed
cerradas,closed
producido,"produced, caused, generated"
tenido,"had, gotten"
hablado,"spoken, talked, talked about"
sentido,"felt, sense, direction"
cocinado,"cooked, baked, boiled"
sufrido,"suffered, born, borne"
puestos,"places, positions, jobs"
puesta,"places, positions, jobs"
puestas,"wear, wears"
previsto,"foreseen, anticipated, forecasted/forecast"
establecido,"established, laid down, set up"
supuesto,"supposed, assumed"
llegada,"arrival, arrived, been enough"
llegado,"arrived, come, gotten"
determinado,"determined, established, stated"
utilizado,"used, utilized, run"
cambiado,changed
