derecho,"right, straight"
ministra,"minister, government minister"
ministro,"minister, government minister"
seguridad,"safety, security, confidence"
políticos,"politicians, diplomatic, political"
político,"political, politician, diplomatic"
política,"politics, political, policy"
libertad,"freedom, set … free!, liberate!"
organización,organization
organizaciones,organizations
congreso,"congress, Parliament (/ Congress etc) building, Parliament"
justicia,"justice, law"
crisis,"crisis, crises (pl.)"
ministerio,"department, ministry"
defensa,"defense, barrier, bumper"
administración,"administration, management, administrative / admin department"
república,republic
ejército,"army, military"
campaña,"campaign, drive, drove"
democracia,democracy
oposición,"opposition, (public) competitive examination"
socialista,socialist
violencia,violence
constitución,"constitution, makeup, setting-up"
líder,leader
líderes,leaders
organismo,"organization, organism, body"
organismos,"organisms, bodies, organizations"
alcaldesa,mayor
alcalde,mayor
discurso,"speech, (I) deliver / give / make a speech, (I) give a talk"
declaración,"statement, declaration, call"
declaraciones,"declarations, declaration, returns"
federal,federal
conflicto,"conflict, difficult situation"
conflictos,"conflicts, conflict, difficult situation"
diálogo,"dialog, conversation, debate"
candidatos,candidates
candidato,candidate
presidencia,"presidency, armchair, chair"
presupuesto,"budget, (I) budget for, (I) plan"
estrategia,strategy
independencia,independence
gobernador,governor
federación,federation
acuerdos,agreements
acuerdo,(I) remember
democrática,democratic
democrático,democratic
corrupción,"corruption, decay"
cooperación,cooperation
impuesto,tax
impuestos,taxes
agricultura,agriculture
manifestación,"protest, demonstration, manifestation"
manifestaciones,"protests, demonstration, demonstrations"
crimen,"crime, serious crime"
déficit,"deficit, deficits, shortfall"
presidencial,presidential
embajadora,ambassador
embajador,ambassador
pobreza,"poverty, poor quality, poorness"
estabilidad,stability
riquezas,"wealth, richness"
riqueza,"wealth, richness"
poderes,"powers, (to) be able to, can"
poder,"power, can, (to) be able to"
dictadura,dictatorship
dictaduras,dictatorships
imperios,"empires, empire-style, rules"
imperio,"empire, empire-style, rule"
civil,"civil, Civil Guard, civilian"
civiles,"civilians, civil, Civil Guard"
legislación,"legislation, laws, lawmaking"
senador,senator
senadores,senators
electoral,"electoral, election"
electorales,"electoral, elections"
arresto,"arrest, (I) arrest, detention"
arrestos,"arrests, arrest, detention"
