fuera,"out, were, (she) go"
fuéramos,"(we) go, (we) escape, (we) be"
fueras,"were, was, (you) go"
fueran,"were, (they) were"
hubieran,"had, (they/you-plural) have, (they/you-plural) is"
hubiera,"had, (I/he/she/it/you) have, have"
hiciera,"(I/he/she/it/you) make, (I/he/she/it/you) do, (I/he/she/it/you) become"
tuviera,"had, (I/he/she/it/you) have"
tuvieras,"(you) have, HAD"
tuviéramos,(we) have
quisiera,(I) would like
quisieran,"like, (they/you-plural) want, wanted"
quisieras,"would you like, (you) wanted, (you) want"
