partir,"leave, (to) leave, leaving"
realizar,"(to) carry out, (to) be realized, (to) realize"
dejar,"let, (to) leave, (to) allow"
conseguir,"(to) get, (to) find, find"
obtener,"(to) get, (to) win, (to) achieve"
mantener,"(to) keep, (to) support, (to) keep up"
lograr,"(to) achieve, (to) be able to, (to) attain"
pesar,"Despite, (to) weigh, (to) weigh out"
establecer,"(to) establish, (to) lay down, get"
alcanzar,"catch, (to) catch, (to) catch up with"
tratar,"(to) try, (to) treat, try"
utilizar,"(to) use, (to) utilize, borrow"
presentar,"present, introduce, (to) present"
resolver,"(to) resolve, solving, (to) solve"
considerar,"consider, (to) consider, (to) consider oneself"
producir,"(to) produce, (to) give rise to, (to) yield"
