Word,Translations
felices,happy
tristes,sad
preocupado,worried
enojado,"angry, mad"
nervioso,nervous
sorprendido,surprised
emocionados,excited
cansados,tired
ocupado,busy
limpia,"clean, (he) washes, (she) cleans"
sucio,dirty
abierta,open
cerrado,closed
enfermos,"sick, patients, sick people"
altas,tall
es grande,is big
guapo,"handsome, good-looking"
rubio,blond
moreno,"brunette, dark-haired"
amarilla,yellow
negro,black
es divertido,it's fun
es muy simpático,Is very nice
inteligentes,"intelligent, smart"
perezoso,lazy
estudioso,studious
persona,person
responsable,responsible
