Word,Translations
nuestro,"our, ours"
nuestros,"our, ours"
se llaman,"(they) are called, their names are, (?) are the names of"
padres,"parents, fathers"
abuelo,"grandfather, grandpa"
americano,American
familias,families
hermanos,"brothers, siblings"
simpático,nice
le gusta,"(she) likes, (he) likes, (?) does he like"
le encanta,"(?) do you love, (he) loves, (she) loves"
baloncesto,basketball
deportes,sports
nos gusta,(we) like
nos encanta,we love
conciertos,concerts
escuchar,"(to) listen, (to) listen to, (to) hear"
piano,piano
tocar,"(to) play, playing, (to) touch"
guitarra,guitar
mexicano,Mexican
películas,"movies, films, pictures"
mayor,mayor
menor,"younger, little, youngest"
toca,"(?) does he play, (he) plays, (it) is playing"
marido,husband
