Word,Translations
me gusta,(I) like
chocolate,chocolate
pastel,cake
queso,cheese
favorito,favorite
porque,"because, for"
azúcar,sugar
te gusta,"(you) like, (?) do you like"
ese,"that, the"
sombrero,hat
falda,skirt
creo que,I believe that
pero,but
algo,"something, anything, any"
jugar,"(to) play, playing, play"
correr,"run, (to) run, running"
me encanta,I love
nadar,"swim, (to) swim, swimming"
te encanta,(?) do you love
piscina,pool
dibujar,"(to) draw, drawing, draw"
música,music
ropa,"clothes, clothing"
bicicleta,"bicycle, bike"
chica,girl
elegante,elegant
viejo,"old, old man, oldest"
perros,"dogs, dog"
