Word,Translations
hacer,"do, (to) do, (to) make"
hago,"(I) make, (I) do, (I) am making"
tarea,"homework, task"
desayuno,"breakfast, (I) eat breakfast"
almuerzo,"lunch, (I) eat lunch"
hace,"ago, (?) are you making, (?) does he do"
cena,"dinner, supper"
demasiado,"too, too much, a bit too"
diario,"newspaper, daily, diary"
cosas,things
antes,"before, previously, by"
después,"after, later, next"
solo,"only, alone, just"
toman,"(?) do you catch, (they) are taking, (they) take"
ponerse,"put, (to) put on"
me pongo,"(I) put on, (I) am putting on, I'm putting on"
te pones,"(you) put on, (?) are you putting on"
se pone,"(she) puts on, (?) is she putting on, (he) puts on"
cada,"each, every"
ducharse,"shower, (to) take a shower, (to) shower"
levantarse,"(to) get up, getting up"
salgo,(I) leave
temprano,early
tarde,"late, afternoon, evening"
semanas,"weeks, week"
fácil,easy
sale,sale
difícil,"difficult, hard"
