clase,"class, classroom, classes"
examen,"test, exam, examination"
fácil,easy
libro,"book, books, textbook"
bolígrafo,pen
escuela,"school, schools"
maestro,teacher
pregunta,"question, (she) asks, questions"
estudiante,student
difícil,"difficult, hard"
problema,"problem, matter, problems"
estudiar,"study, (to) study, studying"
leer,"(to) read, reading"
escribir,"write, (to) write, writing"
estudio,"study, (I) study, (I) am studying"
mucho,"a lot, a lot of, much"
importante,important
escribo,"(I) write, (I) am writing"
leo,"(I) read, (I) am reading"
comprendo,understand
no,"no, any"
universidad,"university, college"
medicina,medicine
estudias,"(you) study, (?) do you study, (you) are studying"
profesor,"professor, teacher"
escribes,"(you) write, (?) are you writing, (?) do you write"
lees,"(you) read, (?) do you read, (you) are reading"
computadora,computer
