Word,Translations
los,"the, them, her"
las,"the, his, my"
trabajo,"(I) work, job, jobs"
jefa,"boss"
jefe,"boss"
mensaje,"message, text"
secretaria,"secretary"
escritorio,"desk"
aquí,"here, this way"
escribir,"write, (to) write, writing"
escribo,"(I) write, (I) am writing"
escribes,"(you) write, (?) are you writing, (?) do you write"
escribe,"(?) are you writing, (?) do you write, (?) does she write"
mucho,"a lot, a lot of, much"
para,"for, to, (he) stops"
tener,"have, (to) have, get"
carta,"letter"
cuál,"what, which, which one"
poco,"little, some, little bit"
problema,"problem, matter, problems"
correo electrónico,"email, email address"
nuevo,"new"
leer,"(to) read, reading"
negocio,"business"
leo,"(I) read, (I) am reading"
lees,"(you) read, (?) do you read, (you) are reading"
ahora,"now"
lee,"(he) reads, (she) is reading, (she) reads"
