Word,Translations
le hago,"I'm asking her, I'm asking him, (I) ask her"
le,"him, her, his"
dar,"give, (to) give, (to) have"
doy,"(I) give, (I) am giving, I'm giving"
hermoso,"beautiful, beautifully, lovely"
setenta,"70, seventy"
ochenta,"80, eighty"
les,"they, you, hers"
cien,"hundred, 100, one hundred"
noventa,"ninety, 90"
oficinas,offices
mandar,"(to) send, send"
das,(you) give
digo,"say, (I) say, tell"
almuerza,"(he) eats lunch, (she) eats lunch, (you) eat lunch"
mil,"thousand, 1000, a thousand"
mando,(I) send
inglés,English
mesero,waiter
dices,"(you) say, (?) can you tell, (?)do you say"
almuerzo,"lunch, (I) eat lunch"
nada es,nothing is
decimos,"(we) say, (?) do we say, (we) tell"
pregunta,"question, (she) asks, questions"
preguntar,"ask, (to) ask, (to) wonder"
nada,"nothing, anything, (he) swims"
millón,million
portuguesa,Portuguese
