Word,Translations
perdone,"excuse me, pardon me"
girar,"turn, turned, (to) turn"
gire,"(you) turn"
tome,"(you) drink, (you) take"
siga,"(you) continue"
cercano,"close, closed, nearby"
disculpe,"excuse me, pardon"
señor,"man, Mr., gentleman"
perdona,"pardon me"
disculpa,"excuse me"
gira,"(it) turns, (you) turn"
derecho,"right, straight"
sigue,"(you) continue, (you) follow, (you) go"
toma,"(?) does it take, (he) drinks, (he) takes"
enfrente,"in front, opposite, across"
direcciones,"directions, addresses"
detrás,"behind, after"
seguir,"(to) follow, (to) continue, (to) go on"
carretera,"road, highway"
buscando,"looking for, getting"
entre,"between, among, (he) enters"
arriba,"upstairs, up"
abajo,"down, downstairs, below"
atrás,"back, ago, at the back"
fuera,"out, were, (she) go"
espero,"(I) hope, (I) am waiting for, (I) wait"
dentro,"in, within, inside"
final,"final, finals, ultimate"
