Word,Translations
nos despertamos,"(?) are we waking up, (we) wake up"
ah,"ah, oh"
cuerpo,body
boca,mouth
sentirse,"(to) feel, be, feeling"
encima,"on, above, on top of"
despertarme,(to) wake up
quedar,"(to) stay, (to) get together, keep"
cabeza,head
nariz,nose
oír,"(to) hear, (to) listen, hear"
queda,"remains, (she) gets together, is"
oigo,"(I) hear, (I) listen"
me despierto,I wake up
piernas,legs
acordarse,"remembering, (to) remember (oneself), (to) agree (oneself)"
brazo,arm
me levanté,I got up
acabar,"(to) finish, finish"
oímos,"(we) hear, (we) heard"
oyes,"(you) hear, (?) do you hear"
gustó,like
me acuerdo,I remember
soñar,"(to) dream, dream, dreaming"
nos acordamos,"(we) remembered, remember, (we) remember"
barba,"beard, beards"
lleva puesto,"he's wearing, (he) is wearing, (?) is he wearing"
cerré,"(I) closed, close, (I) shut"
