Word,Translations
saber,"know, (to) know, hear"
sabes,"(you) know, (?) do you know, (?) do you know how to"
sé,"(I) know, (I) know how to, (you) be"
edad,age
palabras,words
respuesta,"answer, response"
sé cuándo,I know when
cómo se escribe,(?) how do you write
sabemos dónde,we know where
cómo se dice,(?) how do you say
no lo sé,"I don't know, I do not know"
sabes quién,(?) do you know who
sabes cuándo,(?) do you know when
sabe usted,(?) do you know
cocinar,"cook, (to) cook, cooking"
cocino,(I) cook
nada,"nothing, anything, (he) swims"
manejar,"(to) drive, driving"
manejo,(I) drive
sabes nadar,(you) know how to swim
carnes,meats
canto,"(I) sing, singing"
china,"China, chinese"
lengua,language
cantar,"singing, (to) sing, sing"
mismo,same
japonés,Japanese
canciones,songs
