Word,Translations
me interesa,"I am interested in, (it) interests me, I'm interested in"
te interesa,"(?) does it interest you, (?) are you interested in"
le interesa,"(he) is interested in, (she) is interested in"
nos interesa,(we) are interested in
les interesa,"(they) are interested in, (?) are you interested in"
foto,"photo, picture, photos"
conversación,conversation
museo,museum
pintura,"paint, painting"
europeos,European
dibujar,"(to) draw, drawing, draw"
importantes,important
viajar,"(to) travel, travel, traveling"
artes,"arts, art"
interesa jugar,interested play
jugamos,"(we) played, (we) play, (we) are playing"
básquetbol,basketball
juego,"game, (I) play, games"
practicar,"(to) play, (to) practice, play"
preferir,"(to) prefer, prefer, preferring"
cuáles,"which, what"
asignatura,subject
esto,this
radio,radio
grupo,"group, band"
otro,"another, other, another one"
partidos,"matches, games"
fiestas,"parties, holidays"
