nadamos,"(we) swim, (we) swam"
caminamos,"(we) walk, (we) walked, (we) are walking"
disfrutamos,"(we) enjoy, (we) are enjoying, (we) enjoyed"
pasamos,"spend, (we) spent, (we) are spending"
nieve,snow
viajamos,"(we) travel, (we) traveled, we're traveling"
practicamos,"(we) played, (we) practice, (we) practiced"
salimos,"(we) went out, (we) go out, (we) are leaving"
vimos,"(we) saw, (we) watched"
bebimos,(we) drank
dormimos,"(we) sleep, (we) slept"
comimos,"(we) ate, (we) had"
corrimos,"run, (we) went running, (we) ran"
anoche,last night
fuimos,"(we) went, (we) were, go"
querido,"wanted, dear"
bailamos,"(we) dance, (we) danced"
escuchamos,"(we) listened to, (?) did we listen to, (we) are are listening to"
montamos,"(we) ride, (we) rode, start"
visitamos,"(we) visit, (we) visited"
cenamos,"(we) ate dinner, (we) eat dinner, (we) had dinner"
estuvimos,(we) were
conocimos,"(we) met, (we) knew, knew"
escribimos,"(we) write, (we) wrote"
abrimos,"open, (we) open, (we) opened"
aprendimos,"(we) learned, learn"
barco,"boat, ship"
después,"after, later, next"
