hablas con,you speak with
habla,"(?) do you speak, (?) does he speak, (he) is speaking"
estudias en,you study in
estudia,"(?) do you study, (?) does he study, (he) studies"
cierras la,you close the
cierra,"(?) does it close, (it) closes, (you) close"
despacio,"slowly, slow"
usted habla,you speak
hable,(you) speak
usted trabaja,you work
trabaje,(you) work
usted prueba,you test
pruebe,(you) try
alto,"tall, high, loud"
tú vuelves,you return
vuelve,"(?) are you coming back, (?) are you returning, (?) do you return"
abres,"(?) can you open, (you) open, (you) are opening"
abre,"(?) are you open, (?) does it open, (?) is it open"
tú lees,you read
lee,"(he) reads, (she) is reading, (she) reads"
páginas,pages
usted vuelve,you come back
vuelva,"(you) come back, (you) return"
usted bebe,you drink
beba,(you) drink
usted escribe,you write
escriba,(you) write
lápiz,pencil
