camareros,waiters
camareras,waitresses
mesas,tables
mesa,table
quisiera,(I) would like
pescado,fish
pescados,"fish, fish (plural), fishing"
frijoles,beans
cerveza,beer
cervezas,beers
menú,menu
puede traer,(?) can you bring
cucharas,spoons
cuchara,spoon
cuchillos,knives
cuchillo,knife
tenedores,forks
tenedor,fork
sal,salt
plato,"plate, dish"
platos,"plates, dishes"
vasos,glasses
vaso,glass
un plato,a dish
sin,"without, with no"
bebidas,"beverages, drinks"
bebida,drink
blanco,white
blancos,white
blanca,"white, Blanca"
blancas,white
tinto,red
tintos,red
otro,"another, other, another one"
otra,"another, else, other"
botella,bottle
botellas,bottles
pagar,"pay, (to) pay, (to) pay for"
cuenta,"check, bill, account"
sopas,soups
sopa,soup
patatas,"potatoes, potato"
frita,fried
fritas,fried
frito,fried
pagan,"(?) do they pay, (they) pay for, (you) are paying"
paga,"pay, (?) are you paying, (he) pays"
pagas,"pay, (you) pay, (you) pay for"
pagamos,"(we) pay, (we) are paying for, (we) paid"
pago,"(I) pay, (I) pay for, (I) am paying for"
postre,dessert
postres,desserts
