ninguno de,none
nadie,"nobody, no one, anybody"
alguno,"one, any, some (people)"
ciento,"a hundred, one hundred, percent"
compré,"(I) bought, (I) got, buy"
compró,"(?) did she buy, (he) bought, (she) bought"
elegir,"(to) choose, (to) pick, choose"
pobre,poor
ay,"ouch, oh"
mi nuevo,my new
último,"last, latest, final"
completamente,completely
ninguno,"none, any, neither"
con nadie,with nobody
buen,"good, nice"
mal,"bad, wrong, badly"
primer,first
segundo,"second, 2"
pagó,"(she) paid for, pay, (?) did you pay"
tercero,third
olvidar,"(to) forget, forget, forgot"
tercer,third
algún,"any, one, some"
ningún,"no, any"
pagamos,"(we) pay, (we) are paying for, (we) paid"
doscientos,"200, two hundred"
gran,"great, big, large"
