Word,Translations
viajó,"(?) did you travel, (she) traveled, travel"
viajaron,"(?) did you travel, (they) traveled, travel"
disfruté,"(I) enjoyed"
caminaste,"(?) did you walk, (you) walked, walk"
disfrutó,"(he) enjoyed, (it) enjoyed, (she) enjoyed"
visitaron,"(?) did you visit, visit, (they) visited"
miramos,"look, (we) watched, (we) are looking"
salí,"(I) went out, (I) left"
saliste,"(?) did you leave, (you) went out, (?) did you go out"
bebió,"(?) did you drink, (he) drank, (she) drank"
conocieron,"(?) did you meet, (they) met, meet"
abrí,"(I) opened, bored, get"
abriste,"start, bored, open"
vivimos,"(we) live, (we) lived, (we) have lived"
hice,"(I) did, (I) made, (I) asked"
hiciste,"(you) did, (you) made, (?) did you do"
hicimos,"made, (we) made, (?) did we do"
visitó,"(she) visited, (?) did you visit, visit"
disfrutaron,"(?) did you enjoy, (you) enjoyed, enjoy"
caminé,"(I) walked, walk"
disfrutaste,"(?) did you enjoy"
hizo,"(?) did he do, (he) asked, (he) made"
hicieron,"(?) did they do, (?) did you make, (they) asked"
escribí,"(I) wrote, write"
escribiste,"(you) wrote, (?) did you write, write"
conoció,"meet, (?) did they meet, (he) knew"
bebieron,"drink, (?) did you drink, (they) drank"
cogimos,"got, get, made"
