Word,Translations
océano,"ocean"
pescar,"fishing, (to) catch, (to) fish"
disfrutar,"enjoy, (to) enjoy"
mercado,"market, markets"
manejar,"(to) drive, driving"
entrar,"(to) enter, (to) come in, (to) go into"
tambor,"drum"
video,"video"
limonada,"lemonade"
reparar,"(to) repair, repaired"
dibujar,"(to) draw, drawing, draw"
miraba,"(I) was watching, (I) watched, (she) would watch"
entró,"(he) came into, (she) went into"
ciencias,"science, sciences"
diario,"newspaper, daily, diary"
usar,"(to) use, wear, (to) wear"
tío,"uncle"
cafetería,"cafeteria, cafe, café"
rata,"rat"
cocinar,"cook, (to) cook, cooking"
desayunar,"(to) eat breakfast, (to) have breakfast"
tía,"aunt"
monos,"monkeys"
rugby,"rugby"
asar,"(to) roast"
carretera,"road, highway"
