Word,Translations
cebolla,onion
yogur,yogurt
en oferta,in offer
kilogramo,kilogram
lata,can
jamón,ham
litro,"liter, liters"
comprar,"buy, (to) buy, (to) get"
necesitar,"need, (to) need, needed"
y medio,and a half
gastar,"(to) spend, spend"
pimienta,pepper
comprar+prpers,"(he) will buy, (he) will get"
necesitar+prpers,"need, (you) will need, you'll need"
comer,"eat, (to) eat, eating"
beber,"drink, (to) drink, drinking"
champiñón,mushroom
lista,"list, ready, smart"
variedad,variety
comer+prpers,"eat, (to) eat, eating"
beber+prpers,"drink, (to) drink, drinking"
limón,lemon
billetera,wallet
pera,pear
abrir+prpers,(it) will open
pedir+prpers,ask
lavar+prpers,clean
preparar+prpers,"ready, cook, get"
