me interesa,"I am interested in, (it) interests me, I'm interested in"
te interesa,"(?) does it interest you, (?) are you interested in"
le interesa,"(he) is interested in, (she) is interested in"
nos interesa,(we) are interested in
les interesa,"(they) are interested in, (?) are you interested in"
foto,"photo, picture, photos"
fotos,"photos, pictures"
conversaciones,conversations
conversación,conversation
museo,museum
museos,museums
pinturas,paintings
pintura,"paint, painting"
europeas,European
europea,European
europeo,European
europeos,European
dibujo,"drawing, (I) draw"
dibujamos,"(we) drew, (we) draw"
dibuja,(she) draws
dibujas,(you) draw
dibujan,"(they) draw, drawing, (they) are drawing"
importantes,important
viaja,"(he) travels, travel"
viajan,"(?) are they traveling, (?) are you traveling, (they) travel"
viajas,"(?) are you traveling, (you) travel"
viajo,(I) travel
viajamos,"(we) travel, (we) traveled, we're traveling"
artes,"arts, art"
arte,art
interesa jugar,interested in playing
jugamos,"(we) played, (we) play, (we) are playing"
básquetbol,basketball
juego,"game, (I) play, games"
juegas,"(you) play, (?) do you play"
juegan,"(?) do they play, (they) are playing, (they) play"
juega,"(?) does he play, (he) is playing, (she) plays"
practicar,"(to) play, (to) practice, play"
preferido,"favorite, preferred"
preferida,favorite
cuáles,"which, what"
asignaturas,subjects
asignatura,subject
esto,this
radios,radios
radio,radio
grupo,"group, band"
grupos,groups
otros,"others, other"
otras,other
partidos,"matches, games"
fiestas,"parties, holidays"
