bueno,"good, well, nice"
malo,"bad, wrong"
grande,"big, large"
correr,"run, (to) run, running"
qué hacemos,what do we do
excursión,"hike, hiking"
montar,"ride, (to) ride, riding"
divertido,"fun, funny"
aburrido,"boring, bored"
hip-hop,hip-hop
cómic,comic
descanso,"break, rest"
teatro,"theater, movie theater, cinema"
invitar,"(to) invite, (to) ask, invite"
bello,"beautiful, pretty"
a lo mejor,maybe
qué tal si,what if
espectáculo,"show, performance"
lago,lake
jazz,jazz
obra de teatro,"drama, play, obra de teatro"
hermoso,"beautiful, beautifully, lovely"
caro,expensive
nadar,"swim, (to) swim, swimming"
desafortunadamente,unfortunately
hobby,"hobbies, pastimes, hobby"
ciclismo,cycling
motocicleta,motorcycle
