había una vez,once upon a time
rey,king
reinas,queens
castillo,castle
hablaba,"(he) spoke, (he) talked, (he) was talking"
salón,hall
bailar,"dancing, (to) dance, dance"
tocar,"(to) play, playing, (to) touch"
violín,violin
montaña,mountain
oveja,sheep
mar,sea
intentar,"(to) try, try"
rezar,(to) pray
llorar,"(to) cry, crying"
lentamente,"slowly, slow"
intenta,"Try, try, try to!"
sortija,ring
artistas,"artists, actors, actresses"
campo,"field, country, countryside"
ayudar,"help, (to) help"
cenar,"dinner, (to) eat dinner, (to) have dinner"
solo,"only, alone, just"
bailarín,dancer
hasta,"until, to, even"
guerra,war
