Word,Translations
jugaba,"(he) used to play, (I) played, (I) used to play"
jugaban,"(they) used to play, (they) were playing, (?) did you use to play"
visitaba,"(she) used to visit, (he) used to visit"
visitaban,"(they) used to visit, (they) were visiting, (?) did you use to visit"
tradición,tradition
durante,"during, for, in"
día de acción de gracias,Thanksgiving Day
tenía,"(?) did she have, (I) used to have, (he) had"
tenían,"(?) did you use to have, (they) had, (they) used to have"
nochevieja,New Years Eve
vivía,"(I) used to live, (he) used to live, (she) lived"
vivían,"(?) did they use to live, (?) did they live, (?) did you use to live"
comía,"(?) did she use to eat, (I) ate, (I) used to eat"
comían,"(?) did you use to eat, (they) used to eat, (they) were eating"
tarjeta,card
era,"(?) did he use to be, (I) was, (he) was"
eran,"(it) was, (they) were"
especiales,special
navidad,Christmas
juguete,toy
nochebuena,Christmas Eve
jugábamos,"(we) played, (we) were playing, (we) used to play"
éramos,"were, (we) were, (we) were being"
año nuevo,New Year's
teníamos,"(we) had, (we) used to have, had"
iglesia,church
vivíamos,"(we) used to be alive, (we) lived, stayed"
comíamos,"(we) used to eat, eating, (we) were eating"
