Word,Translations
reservar,"(to) reserve"
idea,"idea"
turista,"tourist"
catedral,"cathedral"
planear,"(to) plan"
isla,"island"
bienvenido,"welcome"
reserva,"reservation, (she) is reserving"
ópera,"opera, opera house"
equipaje,"luggage, baggage"
estadio,"stadium"
pasajero,"passenger"
identificación,"identification"
regresar,"return, (to) return, (to) come back"
coche,"car, automobile"
tranvía,"tram"
internacionales,"international, internationals"
vuelo,"flight, (I) fly"
confortable,"comfortable"
asiento,"seat"
regreso,"return, (I) return, (I) come back"
barco,"boat, ship"
capital,"capital, capital city"
helicóptero,"helicopter"
servicios,"services, bathroom, bathrooms"
en todas partes,"everywhere"
agradable,"nice, pleasant"
