Word,Translations
trabaja,"(?) do you work, (?) does he work, (?) does she work"
espera,"(she) hopes, (she) is waiting for, (you) wait"
usa,"(?) are you using, (?) does he wear, (he) is using"
ayuda,"help, (he) helps, (he) is helping"
jamás,"never, ever"
proyecto,"project"
tampoco,"neither, either, (I) don't"
use,"(you) use"
ayude,"(you) help"
escuche,"(you) listen up, (you) listen"
colega,"colleague"
disponible,"available"
tú haces,"you do"
tú pones,"you put"
haz,"(you) do, (you) make"
pon,"(you) put"
tú vas,"you go"
ve,"(he) watches, (she) sees, (you) go"
reunión,"meeting"
usted hace,"you do"
haga,"(he) makes, (you) ask, (you) do"
ponga,"(you) put"
usted pone,"you put"
usted va,"you go"
vaya,"(I) go, (he) is going, (you) go"
empresa,"company, firm, business"
