Word,Translations
vestir,"(to) wear, wears, (to) decorate"
me iba,"i was leaving"
vestíbulo,"foyer, halle, vestibule"
doble,"twice, double!, (I/he/she/it/you) double"
me fui,"I left"
se irá,"he'll be leaving"
dorado,"golden, gold"
anillo,"ring"
enviar,"(to) send, getting, send"
apagar,"(to) turn off, turn"
entrar,"(to) enter, (to) come in, (to) go into"
conducir,"(to) drive, (to) ride, driving"
gasto,"spend, (I) spend, (I) have"
me acostaba,"I lay down"
me acostaré,"(I) will go to bed"
menos mal,"luckily"
escuchar,"(to) listen, (to) listen to, (to) hear"
rock,"rocks, rock"
snowboarding,"snowboarding"
nadando,"swimming"
encender,"(to) turn on"
rap,"rap"
fuerte,"strong, bad, hard"
bebía,"(I/he/she/it/you) was/were drinking, (I/he/she/it/you) used to drink, (I/he/she/it/you) drank"
verdadera,"true, real"
cantar,"singing, (to) sing, sing"
real,"real"
esperaba,"(I/he/she/it/you) was/were waiting for, (I/he/she/it/you) was/were waiting, (I/he/she/it/you) was/were expecting"
atractivo,"attractive"
esquiar,"to ski, skiing"
fumar,"smoking, (to) smoke"
