Word,Translations
me gusta,(I) like
a mí me gusta,I like it
me dice,"(he/she/it)  says (me), tells me, (he/she/it)  thinks (me)"
está rico,It's good
a mí me,to me
rico,"rich, delicious, tasty"
gramo,gram
te gustan,(?) do you like
a ti te gustan,you like them
estoy seguro,I'm sure
te dicen,they tell you
es seguro,It is safe
a ti te,you
centímetro,centimeter
le gusta,"(she) likes, (he) likes, (?) does he like"
a ella le gusta,she likes
están listos,they are ready
están listas,are ready
le doy,I give
a ella le,she
listo,"ready, smart"
profesor,"professor, teacher"
le gustan,"(?) does she like, (he) likes"
a él le gustan,he likes
le das,"(you)  give (him/her/it), (you)  administer (him/her/it), (you)  deal (him/her/it)"
a él le,he
verde,"green, unripe"
recto,straight
es verde,it's green
