Word,Translations
tenido,"had, gotten"
conocido,"met, well-known, acquaintance"
pedido,"asked, asked for, ordered"
tal,"such"
multitud,"crowd"
guía,"guidebook, guide, guide book"
tales,"stories, tales"
comprado,"bought, got, purchased"
dicho,"told, said"
hecho,"made, done, fact"
cualquier lugar,"any place"
negativa,"negative, denial, refusal"
señal,"sign"
vaya,"(I) go, (he) is going, (you) go"
surfear,"surfing, (to) surf"
puesto,"put, (I) have on, (she) has on"
escrito,"written"
policía,"police, police officer, policeman"
abierto,"open, made, opened"
por cierto,"by the way"
sonido,"sound"
ruta,"route, road"
visto,"seen, (I) wear, watched"
ocurrido,"occurred, happened"
luna,"moon"
estrella,"star"
biología,"biology"
semestre,"semester, term"
meta,"goal, (I/he/she/it/you) do, (I/he/she/it/you) get involved"
