perrito,little dog
se llevaron bien,They got along well
me llevo bien,(I) get along
te casas,do you get married
soltero,single
hermanito,little brother
adulto,adult
mesita,little table
gatito,"little cat, kitten"
llevarse bien,get along
normal,normal
ratón,mouse
jalea,jelly
aconsejar,"guided, advise, guide"
pequeñito,"small, really small"
bajito,"short, really short"
genial,"cool, great"
miembro,"member, limb"
crecer,"(to) grow, (to) rise, (to) spread"
graduado,graduate
iguales,"same, the same, equal"
poquito,"little, shot"
abuelito,grandpa
pesca,fishing
bistec,steak
abuelitos,grandparents
rosa,"pink, rosa"
manta,blanket
