Word,Translations
tener,"have, (to) have, get"
poner,"put, (to) put, (to) set"
tendrás,"(you) will have, (you) will be, you'll be"
importar,"matter, import"
pondré,"give, (I) will put in, (I) will post"
trasero,"can, back"
vivo,"(I) live, bright"
salir,"(to) go out, (to) leave, going out"
venir,"come, (to) come, coming"
saldremos,"go, we will leave"
vendrá,"(he) will be coming, (he) will come, (she) will be coming"
arriba,"upstairs, up"
abajo,"down, downstairs, below"
de todas maneras,"in any case, anyway"
hacer,"do, (to) do, (to) make"
decir,"(to) say, (to) talk, (to) tell"
tal como,such as
habrá,"there will be, will be"
gabinete,cabinet
lavaplatos,"dishwasher, sink"
techo,"ceiling, roof"
saber,"know, (to) know, hear"
poder,"power, can, (to) be able to"
cuadrado,square
redondo,"round, round-trip, round (of beef)"
pantalla,screen
juego,"game, (I) play, games"
frente,"front, brow, facade"
