nube,"cloud, film, swarm"
cielo,"sky, heaven"
tormenta,storm
impermeable,"raincoat, raincoats"
conducir,"(to) drive, (to) ride, driving"
llover,"(to) rain, raining"
nevar,"(to) snow, snowing, snow"
pantalones cortos,shorts
niebla,fog
rueda,"wheel, tire, (he/she/it) turns"
ruidoso,"noisy, loud, much talked-about"
quitar+prpers,(he) will take off
inusual,unusual
temperatura,"temperature, a temperature"
grado,"grade, degree"
bajo,"under, low, short"
especialmente,especially
cubrir,"(to) cover, (to) take cover, (to) cover oneself"
aire,"air, draft, draught"
quizás,"maybe, perhaps, might"
navegar,"surf, sail, sailing"
patada,"kick, jolt, shock"
pesqué,(I) fished
acampar,"acampar, camping"
descansar,"resting, (to) rest"
se quitan,(they) take off
pescar,"fishing, (to) catch, (to) fish"
salta,"(he/she/it) jumps, (he/she/it) jumps over, get the shove / chop!"
